lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch,val/cls_loss,val/cls_acc,val/cls_precision,val/cls_recall,val/cls_f1,val/mat_loss,val/n_critical_max,val/rig_loss,val/loss,val/mat_precision,val/mat_recall,val/mat_f1,train/mat_precision,train/mat_recall,train/mat_f1
,,659,2.0,0.05156119540333748,0.9818999767303467,0.5569072365760803,0.5941028594970703,0.570543646812439,4.627411842346191,76.0,0.5618427991867065,5.240816116333008,0,,,,,,,,,,,,,,,
,,669,2.0,0.040002088993787766,0.9825999736785889,0.7684265375137329,0.9421428442001343,0.8326092958450317,2.563215970993042,113.0,6.055027961730957,8.658246040344238,0,,,,,,,,,,,,,,,
,,679,2.0,0.08861353993415833,0.9686999917030334,0.7696714401245117,0.7600334286689758,0.7647550106048584,4.550288200378418,203.0,19.519371032714844,24.15827178955078,0,,,,,,,,,,,,,,,
,,689,2.0,0.08200366795063019,0.965399980545044,0.6773351430892944,0.743552565574646,0.7046567797660828,4.005967140197754,212.0,2.401975393295288,6.489946365356445,0,,,,,,,,,,,,,,,
,,699,2.0,0.05748123303055763,0.9767000079154968,0.7666252851486206,0.8095188140869141,0.7863420248031616,4.488924026489258,185.0,27.36666488647461,31.913070678710938,0,,,,,,,,,,,,,,,
,,709,2.0,0.17505605518817902,0.9186000227928162,0.6423279047012329,0.8843618035316467,0.6946496367454529,5.045546054840088,213.0,18.370004653930664,23.590606689453125,0,,,,,,,,,,,,,,,
,,719,2.0,0.014460979960858822,0.9947999715805054,0.7383248805999756,0.8349258303642273,0.7783533334732056,3.740457057952881,25.0,0.25381746888160706,4.008735656738281,0,,,,,,,,,,,,,,,
,,729,2.0,0.09043024480342865,0.9653000235557556,0.663895845413208,0.7164914011955261,0.686150074005127,4.2561421394348145,163.0,7.617016792297363,11.96358871459961,0,,,,,,,,,,,,,,,
,,739,2.0,0.06296196579933167,0.9771999716758728,0.7147653698921204,0.7313979864120483,0.7227491736412048,4.105339527130127,134.0,1.4647223949432373,5.633024215698242,0,,,,,,,,,,,,,,,
,,749,2.0,0.05742092430591583,0.9749000072479248,0.7837148904800415,0.9299894571304321,0.8402214050292969,3.31329083442688,226.0,17.989303588867188,21.360015869140625,0,,,,,,,,,,,,,,,
