lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch
,,859,2.0,0.06062982603907585,0.9779000282287598,0.7665411829948425,0.7438392043113708,0.7546483278274536,5.187849521636963,241.0,36.80248260498047,42.050960540771484,0
,,869,2.0,0.02576698549091816,0.9937000274658203,0.5110403895378113,0.5188285112380981,0.5138044953346252,3.234380006790161,24.0,0.21134978532791138,3.471496820449829,0
,,879,2.0,0.053716327995061874,0.9789999723434448,0.7418583631515503,0.9113154411315918,0.8029962778091431,5.573901653289795,198.0,99.94963836669922,105.57725524902344,0
,,889,2.0,0.04499831050634384,0.9815000295639038,0.6151264905929565,0.8120403289794922,0.6661275625228882,4.093658447265625,40.0,0.4919532537460327,4.63060998916626,0
,,899,2.0,0.042828746140003204,0.9850000143051147,0.7897000312805176,0.7510305643081665,0.7689143419265747,3.799489974975586,111.0,8.823205947875977,12.66552448272705,0
,,909,2.0,0.04371130093932152,0.9839000105857849,0.8290839195251465,0.822364330291748,0.8256872296333313,4.675536155700684,231.0,36.12117004394531,40.840415954589844,0
,,919,2.0,0.05671289563179016,0.9803000092506409,0.6943744421005249,0.7392796277999878,0.714360237121582,3.720073699951172,120.0,2.251368761062622,6.028155326843262,0
,,929,2.0,0.057061389088630676,0.9761999845504761,0.6906207799911499,0.8627628684043884,0.7480347156524658,4.222321033477783,109.0,6.493956089019775,10.773338317871094,0
,,939,2.0,0.07957959175109863,0.9660999774932861,0.53658127784729,0.674394965171814,0.55562424659729,4.237534523010254,42.0,2.1986424922943115,6.515756607055664,0
,,949,2.0,0.0652121976017952,0.9847000241279602,0.6154701709747314,0.7307440042495728,0.653082549571991,4.087863922119141,58.0,0.1922340840101242,4.345310211181641,0
,,959,2.0,0.04898319020867348,0.9828000068664551,0.7450985312461853,0.8351744413375854,0.78274005651474,4.188835620880127,87.0,3.780026435852051,8.017845153808594,0
,,969,2.0,0.08850254118442535,0.9610000252723694,0.6879697442054749,0.887902021408081,0.7490977048873901,4.3232102394104,141.0,10.230003356933594,14.641716003417969,0
,,979,2.0,0.029541000723838806,0.991599977016449,0.5716336965560913,0.7364410758018494,0.6089997291564941,4.005528450012207,19.0,0.3519443869590759,4.387013912200928,0
,,989,2.0,0.03013513796031475,0.9900000095367432,0.8454446792602539,0.8006007075309753,0.821407675743103,4.613192081451416,141.0,1.693214774131775,6.336542129516602,0
,,999,2.0,0.049712542444467545,0.9825999736785889,0.8895811438560486,0.8615411520004272,0.8749884366989136,6.008460998535156,280.0,17.722427368164062,23.780601501464844,0
,,1009,2.0,0.025594813749194145,0.9919000267982483,0.5375069975852966,0.5502725839614868,0.5429098010063171,3.3512721061706543,25.0,0.15757688879966736,3.5344436168670654,0
,,1019,2.0,0.05251854285597801,0.9782000184059143,0.6415715217590332,0.8052587509155273,0.6916723251342773,4.652666091918945,82.0,9.98900318145752,14.69418716430664,0
,,1029,2.0,0.04139398783445358,0.9879000186920166,0.6925370097160339,0.8863731622695923,0.7559007406234741,4.512742042541504,75.0,0.380332350730896,4.9344682693481445,0
,,1039,2.0,0.11169789731502533,0.9552000164985657,0.801464319229126,0.8305156230926514,0.815184473991394,7.127904415130615,319.0,39.276187896728516,46.51578903198242,0
